my	第	2002074595	myz
myzv	第	2002074595	myz
sm	㐧	2002074594	simv
sxim	㐧	2002074594	simv
n	的	943370349	nrsv
ns	的	943370349	nrsv
nkrs	的	943370349	nrsv
y	了	255733044	yaa
ya	了	255733044	yaa
yvvv	了	255733044	yaa
g	在	197672850	gibv
gb	在	197672850	gibv
gdib	在	197672850	gibv
k	是	171296602	kaii
ki	是	171296602	kaii
kaii	是	171296602	kaii
m	我	169391220	mdhm
mh	我	169391220	mdhm
mdhm	我	169391220	mdhm
mj	和	118878434	mfjv
mfjv	和	118878434	mfjv
gq	有	94271573	gdqv
gdqv	有	94271573	gdqv
nk	你	88487705	nrko
nrko	你	88487705	nrko
nj	個	87859759	nejv
njej	個	87859759	nejv
r	亇	87859758	riv
ri	亇	87859758	riv
yi	也	77259249	yia
w	這	73252887	wsv
ws	這	73252887	wsv
gi	不	70153387	gia
ny	他	67051085	nyi
nyiv	他	67051085	nyi
i	上	66509925	idav
ia	上	66509925	idav
idav	上	66509925	idav
od	人	65506298	oda
j	中	65460099	jiv
ji	中	65460099	jiv
s	就	65012716	skgr
sg	就	65012716	skgr
sjkg	就	65012716	skgr
mm	年	59830333	mamb
mamb	年	59830333	mamb
u	為	57419345	uyuo
uu	為	57419345	uyuo
udyu	為	57419345	uyuo
kd	對	56546971	kuds
kuud	對	56546971	kuds
sd	対	56546970	sods
sods	対	56546970	sods
sr	說	52966771	sjrd
sojr	說	52966771	sjrd
b	都	52527496	bmyv
by	都	52527496	bmyv
bmyv	都	52527496	bmyv
f	要	50753034	fjzm
fz	要	50753034	fjzm
fjzm	要	50753034	fjzm
h	到	50645570	hbkd
hk	到	50645570	hbkd
hbkd	到	50645570	hbkd
e	著	45143802	ebm
eb	著	45143802	ebm
ebmv	著	45143802	ebm
ul	着	45143801	uclv
uclv	着	45143801	uclv
no	與	43497840	niov
nbio	與	43497840	niov
z	將	43057397	zrds
zd	將	43057397	zrds
zird	將	43057397	zrds
ka	日	42260866	kaa
kvvv	日	42260866	kaa
mn	我們	41787606	
mdhnxd	我們	41787606	
zy	好	41528330	zmya
zmya	好	41528330	zmya
q	月	40981378	qaa
qa	月	40981378	qaa
qvvv	月	40981378	qaa
o	會	40026863	olkv
ok	會	40026863	olkv
odlk	會	40026863	olkv
gd	大	38361973	gda
fo	來	37970033	food
food	來	37970033	food
wr	還	37384723	wjrh
wljr	還	37384723	wjrh
wg	还	37384722	wgi
wgiv	还	37384722	wgi
md	等	36263392	mbds
mbds	等	36263392	mbds
gl	而	35787779	gla
byi	地	35624818	byi
byiv	地	35624818	byi
nlyyv	自己	34157718	
or	後	33767571	ozrs
oizr	後	33767571	ozrs
ao	兩	32745515	aood
aloo	兩	32745515	aood
wx	被	30434636	wtxi
wtxi	被	30434636	wtxi
vg	沒有	30405623	
vyxgdq	沒有	30405623	
bz	去	30059353	bzs
bzsv	去	30059353	bzs
na	但	29614263	nkav
nkav	但	29614263	nkav
oi	從	29106991	ooii
oioi	從	29106991	ooii
ox	很	29046232	oixo
oixo	很	29046232	oixo
zj	給	28952371	zajv
zoaj	給	28952371	zajv
kbd	時	28073337	kbds
zo	以	27963704	zsod
zsod	以	27963704	zsod
jj	中國	27811293	
jijja	中國	27811293	
br	元	27576670	bdrd
bdrd	元	27576670	bdrd
ml	看	27275620	mdlv
mdlv	看	27275620	mdlv
jaj	啊	26905491	jajv
ai	下	26737542	aid
aidv	下	26737542	aid
zmy	她	26689468	zmyi
x	又	26669137	xaa
xa	又	26669137	xaa
xvvv	又	26669137	xaa
az	可以	25881411	
aijzso	可以	25881411	
